"Modulo","Id/DevAddr","Pac/DevEUI","Nro Série","IEF","IEF 3 dias","IEF 7 dias","Qtd dias sem transmissao","Qtd dias consecutivos sem transmissao","Matrícula","Latitude","Longitude","Status"
"3845997753","e53d44b9","0080e1150040d137","S22C004552DA","0.509201","0.0","0.0","8","3","4000683474","-23.603881999999999","-46.519058100000002","1"
"2988983002","b22842da","0080e115004fa633","S22C004168DA","1.0","0.0","0.0","0","0","4000683460","-23.603881999999999","-46.519058100000002","3"
"587612618","230641ca","0080e1150040e097","S22C004511DA","1.0","0.0","0.0","0","0","4000683366","-23.603990499999998","-46.519100899999998","3"
"278089446","10934ee6","0080e115002182b8","S22C004961DA","1.0","0.0","0.0","0","0","4000683863","-23.603990499999998","-46.519100899999998","3"
"734807007","2bcc43df","0080e11500217f9f","S22C004242DA","0.0","0.0","0.0","30","30","4000683776","-23.603881999999999","-46.519058100000002","0"
"3743237259","df1d448b","0080e1150508e6ac","S22C005297DA","1.0","0.0","0.0","0","0","4000683426","-23.603990499999998","-46.519100899999998","3"
"2324515299","8a8d49e3","0080e11500546e78","S22C005093DA","1.0","0.0","0.0","0","0","4000683546","-23.603881999999999","-46.519058100000002","3"
"2425636672","90944740","0080e115000d8a87","S22C004224DA","1.0","0.0","0.0","1","1","4000683490","-23.603881999999999","-46.519058100000002","1"
"3889447302","e7d44186","0080e115000d6ba5","S22C004862DA","1.0","0.0","0.0","0","0","4000683465","-23.603881999999999","-46.519058100000002","3"
"1832732642","6d3d47e2","0080e11505098bdb","S22C005603DA","1.0","0.0","0.0","0","0","4000683438","-23.603990499999998","-46.519100899999998","3"
"3093842172","b86848fc","0080e11500218795","S22C003795DA","1.0","0.0","0.0","0","0","4000683835","-23.603881999999999","-46.519058100000002","3"
"1241923624","4a064028","0080e11505096c35","S22C004941DA","1.0","0.0","0.0","1","1","4000683872","-23.603990499999998","-46.519100899999998","1"
"2446806552","91d74e18","0080e11500540061","S22C004094DA","0.0","0.0","0.0","30","30","4000683768","-23.603881999999999","-46.519058100000002","0"
"2161331233","80d34c21","0080e11500547080","S22C005025DA","1.0","0.0","0.0","0","0","4000683434","-23.603990499999998","-46.519100899999998","3"
"199642409","0be64d29","0080e11500543ebd","S22C005513DA","0.863542","0.0","0.0","0","0","4000683376","-23.603990499999998","-46.519100899999998","2"
"3784065190","e18c40a6","0080e1150040b37e","S22C004412DA","1.0","0.0","0.0","1","1","4000683516","-23.603881999999999","-46.519058100000002","1"
"2138981310","7f7e43be","0080e1150040d671","S22C004680DA","1.0","0.0","0.0","1","1","4000683404","-23.603990499999998","-46.519100899999998","1"
"1641366276","61d54304","0080e1150511f0d6","S22C004865DA","1.0","0.0","0.0","0","0","4000683540","-23.603881999999999","-46.519058100000002","3"
"429150019","19944f43","0080e1150040d840","S22C004389DA","1.0","0.0","0.0","0","0","4000683947","-23.603990499999998","-46.519100899999998","3"
